workingset(Bytes),cycles
1024, 921
2048, 1188
4096, 1676
8192, 2735
16384, 4879
32768, 10480
65536, 48529
131072, 131723
262144, 372639
524288, 1311749
1048576, 3521152
2097152, 7388014
4194304, 53728410
8388608, 160931042
16777216, 402361713
